identifier,process,crossSection=-1,BR=1,execute=True,dataset,prefix,pattern,splitLevel,::variables,::pyFragments,comment

gg2bp_W0p2_M750,,-1,,,/Graviton2PBToZZTo4L_width0p2_M-750_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p2_M800,,-1,,,/Graviton2PBToZZTo4L_width0p2_M-800_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p2_M1200,,-1,,,/Graviton2PBToZZTo4L_width0p2_M-1200_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p2_M2000,,-1,,,/Graviton2PBToZZTo4L_width0p2_M-2000_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p2_M3000,,-1,,,/Graviton2PBToZZTo4L_width0p2_M-3000_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p2_M4000,,-1,,,/Graviton2PBToZZTo4L_width0p2_M-4000_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,

gg2bp_W0p3_M750,,-1,,,/Graviton2PBToZZTo4L_width0p3_M-750_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p3_M800,,-1,,,/Graviton2PBToZZTo4L_width0p3_M-800_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p3_M1200,,-1,,,/Graviton2PBToZZTo4L_width0p3_M-1200_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p3_M2000,,-1,,,/Graviton2PBToZZTo4L_width0p3_M-2000_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p3_M3000,,-1,,,/Graviton2PBToZZTo4L_width0p3_M-3000_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,
gg2bp_W0p3_M4000,,-1,,,/Graviton2PBToZZTo4L_width0p3_M-4000_13TeV-JHUgenV6-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,dbs,,1,REWEIGHTING_TYPE=HVV_spin012;SPIN=2;a1=1;b5=1,,

